threshold,fake_rate,acceptance
-1,0.0,0.0
0,0.008926251234343329,0.026116769184229102
1,0.04269528610779066,0.11455077140264193
2,0.1139883581934411,0.27276394070787535
3,0.21949223013356894,0.4692951497428658
4,0.34419988566082843,0.6488857517394373
5,0.47352008731354917,0.7921750529393969
6,0.5899121667273011,0.8856509024906726
7,0.6883997713216569,0.9424221034587072
8,0.7671638688217868,0.9733790460824846
9,0.8302583025830258,0.9891096097610165
10,0.8772153214489892,0.9954623374004236
11,0.9120367964243022,0.9987899566401129
12,0.9396211215633283,0.9994958152667137
13,0.9588898705888468,0.9998991630533427
14,0.9716880619510421,0.9998991630533427
15,0.9810820643417701,1.0
16,0.9874226911283197,1.0
17,0.9917363962372018,1.0
18,0.9946858271399616,1.0
19,0.9966347902915649,1.0
20,0.9978431474455589,1.0
21,0.9985967465308456,1.0
22,0.9990385115118757,1.0
23,0.9994672834052284,1.0
24,0.9996361935450341,1.0
25,0.9997661244218076,1.0
26,0.9998051036848397,1.0
27,0.9998700691232264,1.0
28,0.9998960552985812,1.0
29,0.9999090483862585,1.0
30,0.9999480276492906,1.0
31,0.9999740138246452,1.0
32,0.9999740138246452,1.0
33,0.9999740138246452,1.0
34,0.9999870069123227,1.0
35,0.9999870069123227,1.0
36,1.0,1.0
