feature,importance_auc_drop
obj_pt,0.0707111341153478
sumpt_r0_0p05,0.028843504076130455
iso_ratio,0.013365709746523846
sumpt_r0p05_0p10,0.008988430767929212
pt1_over_ptobj,0.008746303622692464
core_iso_ratio,0.008198793076026778
pt2_over_ptobj,0.005341336692901377
obj_eta,0.0053389898723090745
obj_e,0.003950589230003132
dr2,0.002083733911330765
dr1,0.0012587050858999804
core_frac,0.00118765306934987
mean_dr,0.0010776222510097133
obj_phi,0.00093594981709888
sum_pt,0.0007571868278515304
mean_d0_sig,0.0007161849048613611
sumpt_r0p10_0p20,0.00043707510408541594
ptw_mean_dr,0.0003778111403950346
max_z0_sig,0.00034236605696802425
max_d0_sig,0.00012165702150379598
n_tracks,0.0001187976768739496
max_abs_z0,5.983043762636253e-05
max_pt,1.3055875478173995e-05
ntrk_r0_0p05,1.1761077910232842e-05
n_tracks_core,0.0
sum_pt_core,0.0
maxpt_over_objpt,0.0
sumpt_r0p20_iso,0.0
ntrk_r0p20_iso,0.0
max_abs_d0,-9.98073125435539e-06
ntrk_r0p10_0p20,-1.9826587761895276e-05
mean_abs_d0,-2.7838147714676076e-05
mean_abs_z0,-3.811560341138165e-05
ptw_mean_abs_z0,-0.00010625432543343027
ntrk_r0p05_0p10,-0.00015831597765103567
mean_z0_sig,-0.00016228129520345913
ptw_mean_abs_d0,-0.00019527165824106962
top2_sumpt_frac,-0.0003356492945837397
